Geoname ID,Coordinates
582493,"43.25861, 45.53917"
678245,"45.0, 25.75"
2291874,"6.48086, -3.84625"
2828737,"50.16774, 8.57278"
13157089,"20.60287, 72.92203"
3174892,"45.3693, 10.21675"
6534259,"44.94674, 7.63252"
2904607,"52.13573, 8.14715"
1720948,"14.21667, 121.75"
585145,"40.53299, 49.71681"
2524009,"37.74747, 14.39218"
2519579,"38.07859, -1.27467"
3679660,"4.72069, -73.96926"
1254972,"22.65622, 70.74945"
1276616,"31.61152, 75.52135"
2254689,"15.34714, -13.01647"
4984075,"45.06168, -83.43275"
9957543,"-27.46165, 153.07511"
3445304,"-22.21972, -49.81944"
3094303,"50.44297, 16.24397"
3533117,"20.2654, -89.34726"
612338,"41.95493, 45.81716"
3491937,"19.54057, -70.78853"
1265682,"12.87915, 77.44645"
2520558,"38.22997, -1.69986"
2013032,"50.3737, 129.11074"
1680092,"10.3349, 123.3259"
2712045,"57.3044, 13.54078"
3045364,"45.85499, 18.29752"
5109694,"40.76926, -73.11511"
4329037,"30.22243, -92.65708"
5922833,"51.14533, -114.18125"
484287,"54.72467, 37.1722"
5779025,"41.76937, -111.80467"
482432,"54.01106, 55.88688"
488128,"43.12028, 45.74056"
3167903,"40.418, 17.83419"
12319229,"43.74406, 7.23967"
3671848,"0.80739, -77.57216"
2953384,"50.22788, 9.34782"
586430,"40.61028, 46.78972"
6317203,"-1.415, -45.77222"
598655,"55.07556, 22.76416"
1523512,"43.52786, 68.58287"
1266668,"27.01667, 95.56667"
3448657,"-11.50389, -40.02222"
13513181,"49.28513, -123.11168"
3457102,"-14.24194, -40.77833"
2809013,"48.62336, 8.74518"
2659321,"47.51407, 7.55786"
3987544,"21.54076, -105.28797"
13494671,"13.01766, 80.1027"
2260329,"2.04806, 18.05472"
2659050,"47.20622, 8.69686"
5334096,"36.97523, -121.95329"
291794,"25.7091, 55.80772"
6419326,"35.64725, 139.81304"
3454048,"-28.3743, -48.88277"
4348240,"39.53594, -76.34829"
2837093,"48.65871, 9.06012"
2930201,"47.85534, 8.77342"
4236206,"38.44366, -90.20122"
3522973,"22.22585, -97.91254"
2310309,"1.8658, 10.76892"
3471711,"-15.26333, -39.41444"
3514595,"19.40775, -98.04602"
3173760,"40.60937, 14.37202"
2806107,"51.065, 6.85936"
1266882,"21.7442, 82.5788"
4338298,"29.72743, -90.59898"
1017048,"-28.53914, 25.23965"
1692817,"10.9437, 122.6352"
3461042,"-27.02472, -51.90167"
4202672,"34.11705, -83.57239"
3019238,"45.14771, 5.75014"
6691222,"53.51765, -2.21443"
13132720,"-15.38546, 28.70085"
2972546,"49.25, 3.98333"
301824,"38.26201, 32.40457"
1605072,"15.84523, 103.37678"
4893371,"42.35169, -87.98258"
1734346,"5.41667, 101.91667"
2158130,"-34.01667, 151.01667"
11682118,"11.67238, 78.08814"
3515763,"18.89306, -98.72972"
529343,"56.11497, 47.71805"
479871,"52.34127, 56.16157"
2319078,"9.90347, 4.40816"
2885771,"49.96278, 8.44972"
13590366,"32.38244, 51.56779"
13512359,"48.42979, -123.34424"
2650086,"57.36405, -2.07313"
789600,"46.06667, 20.05"
653559,"60.21209, 24.72756"
2523872,"37.7268, 12.88917"
3009494,"48.18723, 0.65247"
10719792,"20.03254, 80.62109"
1258742,"17.28941, 79.09417"
3198227,"45.37528, 14.34861"
6318676,"-1.85639, -45.1225"
540797,"47.39689, 40.1668"
6318207,"-29.08833, -53.2125"
3674293,"2.50861, -78.4511"
13156924,"26.14387, 85.39071"
712576,"44.61391, 33.6098"
3469296,"-15.32254, -44.75744"
11890652,"38.196, 76.96505"
3514162,"19.26631, -97.5328"
706925,"44.58442, 33.44095"
4139077,"38.86206, -76.95803"
2880308,"50.54196, 8.99034"
2871964,"48.04951, 9.33005"
7007043,"29.02894, 109.24059"
2409914,"7.52639, -12.505"
752437,"40.79306, 37.01639"
7340452,"33.39584, 105.04572"
784141,"43.62725, 20.89634"
2372647,"12.48389, -15.22167"
6318650,"-5.25639, -44.05556"
2518723,"39.5, 2.75"
3466462,"-18.58389, -49.19944"
2960548,"49.58556, 6.12306"
12524521,"33.8174, 73.97568"
6316837,"-2.00028, -44.53611"
5319311,"32.04786, -110.71203"
1793599,"29.44861, 106.97417"
2525573,"38.04653, 13.39207"
11684152,"11.53573, 78.48967"
2061758,"-34.9, 138.51667"
2902951,"49.79972, 8.99944"
4938829,"42.0751, -70.88004"
2280311,"8.32598, -6.10395"
526815,"56.43583, 59.12"
